,path,audio,values,target
0,./data/audios/silence/silence.wav_93.wav,[0.04742186 0.10672572 0.11447436 ... 0.02235922 0.03510447 0.05139536],./data/audios/save_np/silence.wav_93.wav.npy,3
1,./data/audios/hungry/F950E7E3-A1A5-4A01-99F4-9B155C3C6606-1430305696-1.0-m-72-hu.wav,[0.         0.         0.         ... 0.00494264 0.00293715 0.00292569],./data/audios/save_np/F950E7E3-A1A5-4A01-99F4-9B155C3C6606-1430305696-1.0-m-72-hu.wav.npy,0
2,./data/audios/laugh/laugh_1.m4a_83.wav,"[ 0.00022781 -0.00606508 -0.00297062 ... -0.0062807   0.01131437
 -0.00309329]",./data/audios/save_np/laugh_1.m4a_83.wav.npy,1
3,./data/audios/hungry/DB95BF4A-E3E5-4429-A660-DBBCF486E6DF-1430664611-1.0-f-72-hu.wav,"[ 0.          0.          0.         ...  0.00195869  0.00096827
 -0.00562036]",./data/audios/save_np/DB95BF4A-E3E5-4429-A660-DBBCF486E6DF-1430664611-1.0-f-72-hu.wav.npy,0
4,./data/audios/hungry/b5044f9a-6f2e-44fc-8e04-9076a988acf2-1435544527174-1.7-m-04-hu.wav,"[ 1.5207868e-06 -1.8924203e-06  2.5469856e-06 ... -1.1400861e-03
 -7.0877472e-04 -1.0624405e-03]",./data/audios/save_np/b5044f9a-6f2e-44fc-8e04-9076a988acf2-1435544527174-1.7-m-04-hu.wav.npy,0
5,./data/audios/hungry/D54D9C2A-56ED-4338-9D1F-2ADB4E081DAD-1429807587-1.0-m-48-hu.wav,"[ 0.00088698 -0.01413007 -0.00773061 ... -0.02184084 -0.09177166
  0.05810793]",./data/audios/save_np/D54D9C2A-56ED-4338-9D1F-2ADB4E081DAD-1429807587-1.0-m-48-hu.wav.npy,0
6,./data/audios/laugh/laugh_1.m4a_1.wav,"[ 0.00204581  0.00084595 -0.00057695 ...  0.00945396  0.01111986
  0.00880915]",./data/audios/save_np/laugh_1.m4a_1.wav.npy,1
7,./data/audios/noise/4-161519-A.wav,"[ 0.00913486  0.01804104  0.01591939 ... -0.00026966 -0.00029064
  0.        ]",./data/audios/save_np/4-161519-A.wav.npy,2
8,./data/audios/cry/margot.m4a_19.wav,"[ 0.03281586  0.06537559  0.01893375 ...  0.0914881  -0.03329337
 -0.14209907]",./data/audios/save_np/margot.m4a_19.wav.npy,0
9,./data/audios/laugh/laugh_1.m4a_25.wav,"[ 0.0085534  -0.01583298 -0.02104371 ...  0.01491521  0.02857167
  0.03846738]",./data/audios/save_np/laugh_1.m4a_25.wav.npy,1
10,./data/audios/hungry/8c2a1f03-07f4-4aee-a73f-bc57beb2b600-1430761324670-1.7-f-26-hu.wav,"[ 1.5207868e-06 -1.8924203e-06  2.5469856e-06 ... -5.8036704e-02
  3.8585909e-02  0.0000000e+00]",./data/audios/save_np/8c2a1f03-07f4-4aee-a73f-bc57beb2b600-1430761324670-1.7-f-26-hu.wav.npy,0
11,./data/audios/silence/silence.wav_14.wav,"[-0.2032622  -0.40053242 -0.34298927 ...  0.13510263  0.13726664
  0.18573277]",./data/audios/save_np/silence.wav_14.wav.npy,3
12,./data/audios/hungry/9CFD61B9-BF13-406D-8B2F-F73CFAAF25CB-1430927741-1.0-f-04-hu.wav,"[ 2.0454827e-04  7.5457282e-03  7.9478966e-03 ...  4.8595795e-01
 -9.7388692e-02 -4.1025409e-01]",./data/audios/save_np/9CFD61B9-BF13-406D-8B2F-F73CFAAF25CB-1430927741-1.0-f-04-hu.wav.npy,0
13,./data/audios/hungry/22b43570-d440-475b-b2f1-e528c81081f7-1430663490095-1.7-m-04-hu.wav,"[ 1.5207868e-06 -1.8924203e-06  2.5469856e-06 ...  1.6448997e-02
  1.1213437e-02  0.0000000e+00]",./data/audios/save_np/22b43570-d440-475b-b2f1-e528c81081f7-1430663490095-1.7-m-04-hu.wav.npy,0
14,./data/audios/silence/silence.wav_5.wav,"[ 0.19152874  0.37772858  0.32207134 ... -0.3688951  -0.35495546
 -0.37499487]",./data/audios/save_np/silence.wav_5.wav.npy,3
